
==============================================================================
USDJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=54.6% / SHT=44.9% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
M1    US2Y(DGS2) 20d slope<0          SHT    1329   43.2    -1.7   -0.08  -1.26 
D1s   ATR<20-med (compressed)         SHT    1633   43.3    -1.6   -0.10  -1.31 
B5    BB squeeze (bw 20-low)          LNG     484   51.7    -3.0   +0.04  -1.31 
S1s   Near big-figure                 SHT     848   42.6    -2.3   -0.10  -1.37 
D4    NR7                             LNG     481   50.9    -3.7   +0.04  -1.63 
E10   DXY 1d jump>0.5                 LNG     301   49.5    -5.1   +0.05  -1.79 
C19   Aroon down>70 & up<30           SHT     545   40.9    -4.0   -0.14  -1.87 
B1r   Close>BB upper REV              LNG     165   47.3    -7.4   -0.01  -1.90 
C12r  Near 20d LOW REV                SHT     167   37.1    -7.8   -0.27  -2.02 *
G6    January                         LNG     266   45.9    -8.8   -0.11  -2.87 **
B2r   Close<BB lower REV              SHT     144   32.6   -12.3   -0.38  -2.96 **
G7    September                       SHT     236   35.2    -9.7   -0.29  -3.01 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
USDJPY Signal Edge Scan — H4 fwd=6 — baseline LNG=54.6% / SHT=45.0% — bars=11620
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
D6    ATR pctile<0.2 (calm)           LNG    2958   57.0    +2.4   +0.05   2.58 *
D4s   NR7                             SHT    1806   47.2    +2.2   +0.00   1.89 
D5    Inside bar                      LNG    1603   56.6    +2.0   +0.03   1.62 
C11r  Near 20d HIGH REV               LNG    4599   55.8    +1.1   +0.03   1.52 
A11   CCI>+100                        SHT    1682   46.7    +1.8   -0.01   1.46 
A6    RSI2>90 (Connors)               SHT     467   48.2    +3.2   -0.01   1.40 
B2r   Close<BB lower REV              SHT     596   47.7    +2.7   +0.05   1.32 
C13   MACD cross up                   LNG     416   57.5    +2.8   +0.02   1.16 
P4    Bearish pin                     SHT    1797   46.3    +1.3   -0.01   1.14 
C14   MACD cross down                 SHT     417   47.7    +2.8   +0.08   1.13 
A3    RSI>65                          SHT    2082   46.2    +1.2   -0.02   1.10 
B10   Close>Keltner high              SHT    1795   46.2    +1.3   -0.02   1.09 
P3    Bullish pin (tail≥2.5body)      LNG    2073   55.8    +1.2   +0.04   1.08 
B11   TTM squeeze on                  LNG    2164   55.7    +1.1   +0.02   0.98 
H2    London open 07-09               LNG    1968   55.6    +1.0   +0.02   0.90 
A1    RSI>70                          SHT    1062   46.2    +1.3   -0.04   0.83 
C24   ROC10>0                         LNG    6392   55.1    +0.5   +0.03   0.80 
C9    Donchian20 breakout UP          LNG     911   55.9    +1.2   +0.04   0.75 
B9    Close<Keltner low               LNG    1127   55.7    +1.1   +0.02   0.74 
C25   ROC10<0                         SHT    5172   45.5    +0.5   -0.02   0.71 
B1r   Close>BB upper REV              LNG     731   55.7    +1.0   +0.05   0.57 
C10   Donchian20 breakdown            SHT     529   46.1    +1.2   -0.01   0.54 
S1    Near big-figure (x.xx00)        LNG    3402   55.0    +0.3   +0.04   0.39 
C8    EMA20<EMA50                     SHT    4669   45.2    +0.3   -0.01   0.37 
C21   Supertrend bear                 SHT    5486   45.2    +0.2   -0.02   0.36 
C27   ADX>25 & EMA20<50               SHT    2797   45.3    +0.3   -0.02   0.32 
P2    Bearish engulfing               SHT     699   45.5    +0.5   -0.05   0.28 
D1    ATR<20-med (compressed)         LNG    6022   54.7    +0.1   +0.02   0.10 
H3    NY open 13-15                   LNG     856   54.8    +0.2   +0.03   0.09 
C6    Close<EMA200                    SHT    4497   45.0    +0.1   -0.02   0.09 
C20   Supertrend bull                 LNG    6128   54.7    +0.1   +0.02   0.08 
C7    EMA20>EMA50                     LNG    6944   54.7    +0.0   +0.03   0.08 
C12   Near 20d LOW                    LNG    2664   54.7    +0.1   +0.01   0.06 
H3s   NY open 13-15                   SHT     856   45.0    +0.0   -0.03   0.01 
C12r  Near 20d LOW REV                SHT    2664   45.0    +0.0   -0.01   0.01 
A2    RSI<30                          LNG     617   54.5    -0.2   +0.03  -0.09 
H4o   NY/London overlap 12-16         LNG    3082   54.5    -0.1   +0.02  -0.10 
C5    Close>EMA200                    LNG    7116   54.6    -0.1   +0.02  -0.11 
D1s   ATR<20-med (compressed)         SHT    6022   44.9    -0.1   -0.02  -0.15 
C23   PSAR bear                       SHT    5287   44.8    -0.1   -0.03  -0.20 
S1s   Near big-figure                 SHT    3402   44.8    -0.2   -0.04  -0.23 
B5    BB squeeze (bw 20-low)          LNG    2040   54.4    -0.3   +0.01  -0.24 
C22   PSAR bull                       LNG    6326   54.5    -0.2   +0.02  -0.25 
A7    Stoch K>80                      SHT    3391   44.7    -0.3   -0.02  -0.33 
B6    BB expanding (>20-med)          LNG    5388   54.3    -0.3   +0.02  -0.45 
C2    Close<EMA20                     SHT    4905   44.6    -0.3   -0.02  -0.47 
A9    Williams%R>-20                  SHT    3537   44.6    -0.4   -0.03  -0.48 
B1    Close>BB upper                  SHT     731   44.0    -0.9   -0.05  -0.50 
B8    z-score>+2 → short              SHT     731   44.0    -0.9   -0.05  -0.50 
A8    Stoch K<20                      LNG    1677   54.0    -0.6   +0.02  -0.50 
C1    Close>EMA20                     LNG    6708   54.3    -0.3   +0.02  -0.51 
