
==============================================================================
EURJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=55.6% / SHT=44.2% — bars=1159
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C26   ADX>25 & EMA20>50               LNG     281   43.1   -12.6   -0.24  -4.24 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
EURJPY Signal Edge Scan — H4 fwd=6 — baseline LNG=54.4% / SHT=45.4% — bars=6848
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
D6    ATR pctile<0.2 (calm)           LNG    1688   59.2    +4.8   +0.07   3.96 **
B10   Close>Keltner high              SHT    1168   50.4    +5.1   +0.01   3.48 **
A1    RSI>70                          SHT     545   51.7    +6.4   +0.02   3.00 **
A3    RSI>65                          SHT    1089   49.6    +4.2   -0.00   2.81 **
B11   TTM squeeze on                  LNG     796   59.2    +4.8   +0.08   2.71 **
A12   CCI<-100                        LNG     740   59.1    +4.7   +0.10   2.55 *
A11   CCI>+100                        SHT     935   49.2    +3.8   +0.00   2.36 *
D5    Inside bar                      LNG    1155   57.6    +3.2   +0.06   2.18 *
D1    ATR<20-med (compressed)         LNG    3508   56.2    +1.8   +0.05   2.18 *
B2    Close<BB lower                  LNG     329   59.3    +4.9   +0.10   1.78 
B7    z-score<-2 → long               LNG     329   59.3    +4.9   +0.10   1.78 
C14   MACD cross down                 SHT     282   50.4    +5.0   +0.00   1.69 
C28   ADX<20 & RSI<30 (range OS)      LNG       7   85.7   +31.3   +0.67   1.66  INSUFF
H2    London open 07-09               LNG    1157   56.7    +2.3   +0.04   1.58 
D4s   NR7                             SHT     909   47.7    +2.4   -0.03   1.45 
B1    Close>BB upper                  SHT     401   48.9    +3.5   +0.02   1.42 
B8    z-score>+2 → short              SHT     401   48.9    +3.5   +0.02   1.42 
B9    Close<Keltner low               LNG     717   56.8    +2.4   +0.09   1.28 
A4    RSI<35                          LNG     564   56.7    +2.4   +0.11   1.12 
D2    ATR>1.5x med (expanding)        LNG     183   58.5    +4.1   +0.11   1.11 
A7    Stoch K>80                      SHT    1928   46.6    +1.2   -0.02   1.08 
A9    Williams%R>-20                  SHT    2044   46.5    +1.1   -0.02   1.02 
P2    Bearish engulfing               SHT     458   47.2    +1.8   -0.00   0.78 
C12   Near 20d LOW                    LNG    1110   55.3    +0.9   +0.03   0.62 
H3    NY open 13-15                   LNG     530   55.7    +1.3   +0.05   0.59 
B5    BB squeeze (bw 20-low)          LNG    1037   55.1    +0.7   +0.03   0.44 
P3    Bullish pin (tail≥2.5body)      LNG    1253   55.0    +0.6   +0.02   0.43 
A10   Williams%R<-80                  LNG    1081   54.9    +0.6   +0.04   0.37 
A8    Stoch K<20                      LNG     923   54.8    +0.4   +0.04   0.27 
A2    RSI<30                          LNG     226   54.9    +0.5   +0.08   0.15 
C11   Near 20d HIGH                   SHT    2348   45.4    +0.1   -0.03   0.09 
