
==============================================================================
EURGBP Signal Edge Scan — D1 fwd=5 — baseline LNG=49.0% / SHT=50.7% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C20   Supertrend bull                 LNG    1521   46.2    -2.8   -0.05  -2.16 *
C7    EMA20>EMA50                     LNG    1355   46.1    -2.9   -0.05  -2.17 *
C21   Supertrend bear                 SHT    1461   47.8    -2.9   -0.10  -2.21 *
C4    Close<EMA50                     SHT    1539   47.8    -2.9   -0.12  -2.29 *
C24   ROC10>0                         LNG    1441   45.9    -3.1   -0.06  -2.37 *
C25   ROC10<0                         SHT    1519   47.6    -3.1   -0.11  -2.40 *
C3    Close>EMA50                     LNG    1442   45.8    -3.2   -0.09  -2.45 *
C2    Close<EMA20                     SHT    1533   47.5    -3.2   -0.10  -2.49 *
D2    ATR>1.5x med (expanding)        LNG      73   34.2   -14.7   -0.46  -2.52 *
C1    Close>EMA20                     LNG    1448   45.6    -3.4   -0.06  -2.60 *
B2r   Close<BB lower REV              SHT     130   39.2   -11.4   -0.15  -2.61 **
C10   Donchian20 breakdown            SHT     155   36.8   -13.9   -0.24  -3.46 **
C12r  Near 20d LOW REV                SHT     450   41.8    -8.9   -0.15  -3.77 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
EURGBP Signal Edge Scan — H4 fwd=6 — baseline LNG=47.6% / SHT=51.6% — bars=9840
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
A7    Stoch K>80                      SHT    1574   56.5    +5.0   +0.02   3.96 **
A9    Williams%R>-20                  SHT    1837   55.5    +4.0   +0.02   3.40 **
A2    RSI<30                          LNG     399   56.1    +8.5   +0.04   3.40 **
D2    ATR>1.5x med (expanding)        LNG     103   62.1   +14.5   +0.18   2.95 **
A3    RSI>65                          SHT    1009   56.1    +4.5   +0.00   2.89 **
A4    RSI<35                          LNG    1113   51.8    +4.1   +0.03   2.75 **
B2    Close<BB lower                  LNG     471   53.7    +6.1   +0.03   2.64 **
B7    z-score<-2 → long               LNG     471   53.7    +6.1   +0.03   2.64 **
A5    RSI2<10 (Connors)               LNG    2837   49.9    +2.3   +0.01   2.43 *
C11   Near 20d HIGH                   SHT    3419   53.5    +2.0   +0.01   2.30 *
A1    RSI>70                          SHT     475   56.4    +4.9   +0.02   2.12 *
A10   Williams%R<-80                  LNG    2275   49.8    +2.2   +0.01   2.12 *
B10   Close>Keltner high              SHT    1076   54.7    +3.2   +0.01   2.09 *
C12   Near 20d LOW                    LNG    4295   49.2    +1.5   +0.01   2.02 *
B9    Close<Keltner low               LNG    1133   50.5    +2.9   +0.02   1.92 
A11   CCI>+100                        SHT    1195   53.8    +2.3   -0.01   1.56 
D1s   ATR<20-med (compressed)         SHT    5033   52.6    +1.0   +0.01   1.47 
C28   ADX<20 & RSI<30 (range OS)      LNG      43   58.1   +10.5   +0.06   1.38 
D4s   NR7                             SHT    1266   53.4    +1.8   +0.01   1.31 
B1    Close>BB upper                  SHT     536   54.3    +2.7   +0.02   1.27 
B8    z-score>+2 → short              SHT     536   54.3    +2.7   +0.02   1.27 
A12   CCI<-100                        LNG    1226   49.3    +1.7   +0.01   1.20 
B6    BB expanding (>20-med)          LNG    4733   48.0    +0.4   +0.01   0.48 
D6    ATR pctile<0.2 (calm)           LNG    2538   47.9    +0.3   -0.01   0.28 
D5    Inside bar                      LNG    1614   48.0    +0.3   +0.01   0.26 
H3    NY open 13-15                   LNG     854   48.0    +0.4   +0.00   0.22 
B11   TTM squeeze on                  LNG    1740   47.9    +0.2   +0.01   0.20 
A8    Stoch K<20                      LNG    2113   47.8    +0.2   -0.00   0.20 
