
==============================================================================
NZDUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=49.2% / SHT=50.4% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
M1    US2Y(DGS2) 20d slope<0          LNG    1329   47.4    -1.8   -0.03  -1.33 
M6    2s10s flattening                SHT    1619   48.7    -1.7   -0.02  -1.37 
M2    US2Y 20d slope>0                SHT    1633   48.6    -1.8   +0.03  -1.46 
E16   VIX 1d spike>3                  LNG     112   42.0    -7.3   -0.36  -1.54 
C9    Donchian20 breakout UP          LNG     171   42.7    -6.5   -0.14  -1.71 
P4    Bearish pin                     SHT     510   46.5    -3.9   -0.10  -1.76 
C6    Close<EMA200                    SHT    1775   47.8    -2.5   -0.04  -2.14 *
A1    RSI>70                          SHT     112   40.2   -10.2   -0.08  -2.16 *
C8    EMA20<EMA50                     SHT    1621   47.4    -2.9   -0.04  -2.36 *
A6    RSI2>90 (Connors)               SHT     101   38.6   -11.8   -0.22  -2.36 *
C5    Close>EMA200                    LNG    1206   45.6    -3.6   -0.15  -2.52 *
C7    EMA20>EMA50                     LNG    1360   45.7    -3.5   -0.14  -2.58 *
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
NZDUSD Signal Edge Scan — H4 fwd=6 — baseline LNG=50.1% / SHT=49.3% — bars=9838
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B11   TTM squeeze on                  LNG    1144   54.3    +4.2   +0.07   2.81 **
S1    Near big-figure (x.xx00)        LNG    2848   52.7    +2.6   +0.03   2.76 **
A11   CCI>+100                        SHT    1179   53.1    +3.8   +0.07   2.58 *
P3    Bullish pin (tail≥2.5body)      LNG    1596   53.1    +3.0   +0.02   2.41 *
A6    RSI2>90 (Connors)               SHT     310   55.8    +6.5   +0.07   2.28 *
B9    Close<Keltner low               LNG    1363   53.2    +3.1   +0.01   2.27 *
A8    Stoch K<20                      LNG    2080   52.6    +2.5   +0.02   2.26 *
A12   CCI<-100                        LNG    1263   53.3    +3.2   +0.04   2.25 *
C11   Near 20d HIGH                   SHT    2064   51.7    +2.4   +0.04   2.19 *
B10   Close>Keltner high              SHT    1316   52.3    +2.9   +0.04   2.13 *
C12   Near 20d LOW                    LNG    2096   52.4    +2.3   +0.03   2.07 *
A10   Williams%R<-80                  LNG    2269   52.3    +2.1   +0.02   2.05 *
A5    RSI2<10 (Connors)               LNG    2853   52.0    +1.9   +0.02   1.99 
A9    Williams%R>-20                  SHT    2237   51.3    +2.0   +0.03   1.87 
A3    RSI>65                          SHT    1065   52.0    +2.7   +0.03   1.75 
A4    RSI<35                          LNG    1202   52.6    +2.5   +0.00   1.70 
D2    ATR>1.5x med (expanding)        LNG     112   58.0    +7.9   -0.15   1.68 
C29   ADX<20 & RSI>70 (range OB)      SHT      37   59.5   +10.1   +0.12   1.23 
P2    Bearish engulfing               SHT     733   51.6    +2.2   +0.03   1.21 
B1    Close>BB upper                  SHT     533   51.6    +2.3   +0.06   1.04 
B8    z-score>+2 → short              SHT     533   51.6    +2.3   +0.06   1.04 
B5    BB squeeze (bw 20-low)          LNG    1445   51.5    +1.4   +0.02   1.04 
C14   MACD cross down                 SHT     391   51.9    +2.6   +0.02   1.02 
D1    ATR<20-med (compressed)         LNG    5068   50.8    +0.7   +0.01   1.01 
H3    NY open 13-15                   LNG     855   51.6    +1.5   +0.01   0.85 
D6s   ATR pctile<0.2 (calm)           SHT    2344   50.2    +0.9   +0.00   0.85 
A1    RSI>70                          SHT     431   51.3    +1.9   +0.06   0.80 
A7    Stoch K>80                      SHT    2054   50.1    +0.8   +0.03   0.73 
B2    Close<BB lower                  LNG     532   51.7    +1.6   +0.01   0.72 
B7    z-score<-2 → long               LNG     532   51.7    +1.6   +0.01   0.72 
D5s   Inside bar                      SHT    1366   50.3    +1.0   +0.02   0.71 
C26   ADX>25 & EMA20>50               LNG    1872   50.7    +0.6   +0.00   0.54 
P1    Bullish engulfing               LNG     712   51.1    +1.0   +0.02   0.53 
C18   Aroon up>70 & down<30           LNG    2160   50.7    +0.6   -0.02   0.53 
H2    London open 07-09               LNG    1667   50.4    +0.3   -0.00   0.22 
A2    RSI<30                          LNG     569   50.3    +0.1   +0.02   0.07 
D4s   NR7                             SHT    1378   49.4    +0.1   +0.01   0.06 
C28   ADX<20 & RSI<30 (range OS)      LNG      22   50.0    -0.1   +0.03  -0.01  INSUFF
C27   ADX>25 & EMA20<50               SHT    2124   49.2    -0.1   +0.01  -0.08 
H2s   London open 07-09               SHT    1667   49.1    -0.2   +0.00  -0.17 
D4    NR7                             LNG    1378   49.7    -0.4   -0.01  -0.31 
C19   Aroon down>70 & up<30           SHT    2233   48.9    -0.4   -0.00  -0.37 
H4o   NY/London overlap 12-16         LNG    2483   49.7    -0.5   -0.01  -0.46 
C8    EMA20<EMA50                     SHT    5105   49.0    -0.3   -0.00  -0.50 
C7    EMA20>EMA50                     LNG    4726   49.7    -0.4   -0.01  -0.52 
