
==============================================================================
USDCAD Signal Edge Scan — D1 fwd=5 — baseline LNG=50.6% / SHT=49.1% — bars=4288
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
W4    WTI 1d drop>2%                  LNG     617   48.6    -2.0   -0.06  -0.99 
A12   CCI<-100                        LNG     499   48.1    -2.5   +0.03  -1.13 
C25   ROC10<0                         SHT    2048   47.8    -1.3   -0.06  -1.18 
B1    Close>BB upper                  SHT     267   45.3    -3.8   -0.11  -1.24 
B8    z-score>+2 → short              SHT     267   45.3    -3.8   -0.11  -1.24 
C5    Close>EMA200                    LNG    2523   49.3    -1.3   -0.00  -1.28 
B11   TTM squeeze on                  LNG     674   47.9    -2.7   +0.03  -1.40 
C27   ADX>25 & EMA20<50               SHT     612   46.2    -2.9   -0.05  -1.41 
G9    Turn of month (day>=26)         LNG     764   47.8    -2.8   -0.06  -1.57 
E10   DXY 1d jump>0.5                 LNG     410   46.6    -4.0   -0.02  -1.63 
C29   ADX<20 & RSI>70 (range OB)      SHT      12   25.0   -24.1   -0.11  -1.67  INSUFF
C6    Close<EMA200                    SHT    1759   47.1    -2.0   -0.10  -1.70 
C7    EMA20>EMA50                     LNG    2425   48.7    -1.9   +0.00  -1.85 
P4    Bearish pin                     SHT     746   45.7    -3.4   -0.09  -1.85 
G7    September                       SHT     343   44.0    -5.1   -0.18  -1.88 
C8    EMA20<EMA50                     SHT    1857   46.5    -2.6   -0.09  -2.27 *
C19   Aroon down>70 & up<30           SHT     957   44.6    -4.5   -0.12  -2.77 **
E15   VIX<15                          SHT    1500   45.3    -3.8   -0.10  -2.97 **
E13   VIX>20                          LNG    1249   45.2    -5.5   -0.05  -3.86 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
USDCAD Signal Edge Scan — H4 fwd=6 — baseline LNG=50.9% / SHT=48.7% — bars=9789
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B1    Close>BB upper                  SHT     540   55.6    +6.9   +0.05   3.19 **
B8    z-score>+2 → short              SHT     540   55.6    +6.9   +0.05   3.19 **
B5    BB squeeze (bw 20-low)          LNG    1542   54.9    +4.0   +0.01   3.14 **
C12   Near 20d LOW                    LNG    3365   53.3    +2.3   +0.02   2.69 **
A8    Stoch K<20                      LNG    2034   53.7    +2.8   +0.03   2.53 *
A11   CCI>+100                        SHT    1219   52.3    +3.6   +0.02   2.49 *
D6s   ATR pctile<0.2 (calm)           SHT    2450   51.1    +2.4   +0.01   2.39 *
B9    Close<Keltner low               LNG    1245   53.8    +2.9   +0.03   2.03 *
A10   Williams%R<-80                  LNG    2261   52.9    +2.0   +0.02   1.87 
A2    RSI<30                          LNG     511   54.6    +3.7   +0.04   1.66 
C18   Aroon up>70 & down<30           LNG    2252   52.6    +1.7   +0.01   1.60 
C26   ADX>25 & EMA20>50               LNG    2499   52.3    +1.4   +0.01   1.37 
C11r  Near 20d HIGH REV               LNG    3397   52.1    +1.2   +0.01   1.36 
A4    RSI<35                          LNG    1137   52.9    +2.0   +0.03   1.36 
B10   Close>Keltner high              SHT    1362   50.1    +1.4   +0.00   1.02 
H3s   NY open 13-15                   SHT     855   50.3    +1.6   +0.00   0.94 
A6    RSI2>90 (Connors)               SHT     372   51.1    +2.4   +0.01   0.92 
D5s   Inside bar                      SHT    1483   49.8    +1.1   -0.00   0.83 
C27   ADX>25 & EMA20<50               SHT    1936   49.6    +0.9   -0.00   0.79 
B2r   Close<BB lower REV              SHT     502   50.4    +1.7   +0.00   0.77 
A9    Williams%R>-20                  SHT    2244   49.2    +0.5   +0.00   0.48 
A5    RSI2<10 (Connors)               LNG    2847   51.4    +0.5   +0.01   0.48 
D4s   NR7                             SHT    1349   49.2    +0.5   -0.00   0.39 
S1    Near big-figure (x.xx00)        LNG    2967   51.2    +0.2   +0.01   0.25 
H2    London open 07-09               LNG    1659   51.2    +0.2   +0.00   0.20 
C14   MACD cross down                 SHT     401   49.1    +0.4   -0.01   0.18 
D1    ATR<20-med (compressed)         LNG    5005   51.0    +0.1   +0.00   0.16 
C7    EMA20>EMA50                     LNG    5035   51.0    +0.1   -0.00   0.10 
H4o   NY/London overlap 12-16         LNG    2469   51.0    +0.0   +0.01   0.02 
C8    EMA20<EMA50                     SHT    4747   48.7    -0.0   -0.01  -0.00 
A7    Stoch K>80                      SHT    2042   48.7    -0.0   -0.00  -0.01 
P4    Bearish pin                     SHT    1683   48.7    -0.0   -0.01  -0.02 
D1s   ATR<20-med (compressed)         SHT    5005   48.7    -0.0   -0.00  -0.02 
C19   Aroon down>70 & up<30           SHT    2175   48.6    -0.1   -0.01  -0.08 
A3    RSI>65                          SHT    1230   48.5    -0.1   -0.01  -0.11 
C3    Close>EMA50                     LNG    4932   50.9    -0.1   -0.01  -0.12 
C4    Close<EMA50                     SHT    4850   48.6    -0.1   -0.02  -0.15 
H2s   London open 07-09               SHT    1659   48.3    -0.3   -0.00  -0.28 
S1s   Near big-figure                 SHT    2967   48.4    -0.3   -0.01  -0.35 
D4    NR7                             LNG    1349   50.4    -0.5   +0.00  -0.39 
A1    RSI>70                          SHT     604   47.8    -0.8   -0.02  -0.41 
C5    Close>EMA200                    LNG    5022   50.6    -0.3   -0.00  -0.42 
C23   PSAR bear                       SHT    4793   48.3    -0.4   -0.01  -0.54 
C10   Donchian20 breakdown            SHT     599   47.6    -1.1   -0.03  -0.54 
