
==============================================================================
GBPUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=48.8% / SHT=51.1% — bars=2981
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
M6    2s10s flattening                SHT    1615   49.3    -1.8   -0.04  -1.46 
P1    Bullish engulfing               LNG      24   33.3   -15.5   -0.10  -1.52  INSUFF
B6    BB expanding (>20-med)          LNG    1407   46.8    -2.1   -0.09  -1.54 
D1s   ATR<20-med (compressed)         SHT    1573   49.1    -2.0   -0.02  -1.56 
B2r   Close<BB lower REV              SHT     167   44.9    -6.2   -0.20  -1.60 
C21   Supertrend bear                 SHT    1579   49.1    -2.0   -0.02  -1.61 
C20   Supertrend bull                 LNG    1397   46.6    -2.2   -0.05  -1.66 
C18   Aroon up>70 & down<30           LNG     618   45.5    -3.4   -0.06  -1.67 
A11   CCI>+100                        SHT     392   46.7    -4.4   -0.04  -1.75 
C10   Donchian20 breakdown            SHT      80   41.2    -9.9   -0.20  -1.76 
P4    Bearish pin                     SHT    2335   48.7    -2.4   -0.06  -2.33 *
C11r  Near 20d HIGH REV               LNG     214   38.8   -10.0   -0.22  -2.94 **
C26   ADX>25 & EMA20>50               LNG     424   41.5    -7.3   -0.08  -3.01 **
E16   VIX 1d spike>3                  LNG     111   28.8   -20.0   -0.76  -4.21 **
C12r  Near 20d LOW REV                SHT     170   31.2   -19.9   -0.56  -5.20 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
GBPUSD Signal Edge Scan — H4 fwd=6 — baseline LNG=50.9% / SHT=48.8% — bars=9800
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B9    Close<Keltner low               LNG    1319   53.7    +2.8   +0.01   2.05 *
S1    Near big-figure (x.xx00)        LNG    2773   52.5    +1.7   +0.02   1.77 
C13   MACD cross up                   LNG     381   55.4    +4.5   +0.07   1.77 
A11   CCI>+100                        SHT    1229   51.3    +2.5   +0.02   1.77 
A10   Williams%R<-80                  LNG    2049   52.7    +1.9   +0.02   1.68 
C11   Near 20d HIGH                   SHT    2743   50.4    +1.6   +0.02   1.67 
D6s   ATR pctile<0.2 (calm)           SHT    2389   50.4    +1.6   +0.00   1.58 
A1    RSI>70                          SHT     541   52.1    +3.3   +0.04   1.54 
D5s   Inside bar                      SHT    1541   50.6    +1.8   +0.01   1.41 
A4    RSI<35                          LNG    1116   53.0    +2.1   +0.01   1.40 
A8    Stoch K<20                      LNG    1833   52.4    +1.5   +0.01   1.30 
A7    Stoch K>80                      SHT    2082   50.2    +1.4   +0.01   1.29 
A3    RSI>65                          SHT    1206   50.7    +1.8   +0.03   1.28 
A6    RSI2>90 (Connors)               SHT     357   52.1    +3.3   +0.03   1.24 
C28   ADX<20 & RSI<30 (range OS)      LNG      22   63.6   +12.8   +0.01   1.20  INSUFF
C18   Aroon up>70 & down<30           LNG    2213   52.1    +1.2   +0.02   1.13 
A9    Williams%R>-20                  SHT    2315   49.9    +1.1   +0.01   1.03 
B2r   Close<BB lower REV              SHT     533   50.7    +1.8   -0.00   0.85 
C14   MACD cross down                 SHT     381   50.9    +2.1   -0.02   0.82 
B5    BB squeeze (bw 20-low)          LNG    1568   51.8    +1.0   +0.03   0.79 
P4    Bearish pin                     SHT    1607   49.8    +1.0   -0.01   0.77 
B10   Close>Keltner high              SHT    1431   49.8    +1.0   +0.02   0.76 
B1r   Close>BB upper REV              LNG     527   52.2    +1.3   +0.00   0.61 
C12   Near 20d LOW                    LNG    2434   51.4    +0.6   +0.01   0.57 
A2    RSI<30                          LNG     523   52.0    +1.1   -0.04   0.53 
H3    NY open 13-15                   LNG     848   51.7    +0.8   +0.01   0.46 
C23   PSAR bear                       SHT    4812   49.1    +0.3   +0.00   0.45 
A12   CCI<-100                        LNG    1237   51.4    +0.6   +0.01   0.39 
C22   PSAR bull                       LNG    4981   51.1    +0.2   +0.01   0.28 
