
==============================================================================
AUDUSD Signal Edge Scan — D1 fwd=5 — baseline LNG=50.3% / SHT=49.5% — bars=2987
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C29   ADX<20 & RSI>70 (range OB)      SHT       4   25.0   -24.5   -0.78  -0.98  INSUFF
G1    Mon → long                      LNG     596   48.2    -2.1   -0.01  -1.03 
C8    EMA20<EMA50                     SHT    1638   48.2    -1.3   -0.02  -1.05 
C10   Donchian20 breakdown            SHT     187   44.9    -4.5   -0.11  -1.24 
B2r   Close<BB lower REV              SHT     158   43.7    -5.8   -0.30  -1.46 
C9    Donchian20 breakout UP          LNG     174   44.3    -6.0   -0.23  -1.59 
B11   TTM squeeze on                  LNG     464   46.6    -3.7   -0.16  -1.60 
B6    BB expanding (>20-med)          LNG    1420   47.8    -2.5   -0.07  -1.85 
C27   ADX>25 & EMA20<50               SHT     627   45.6    -3.8   -0.08  -1.93 
D6    ATR pctile<0.2 (calm)           LNG     880   46.9    -3.3   -0.05  -1.98 
C11r  Near 20d HIGH REV               LNG     242   43.4    -6.9   -0.19  -2.14 *
C19   Aroon down>70 & up<30           SHT     643   43.7    -5.8   -0.08  -2.92 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
AUDUSD Signal Edge Scan — H4 fwd=6 — baseline LNG=51.4% / SHT=48.2% — bars=9836
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B9    Close<Keltner low               LNG    1241   56.6    +5.2   +0.04   3.68 **
A4    RSI<35                          LNG    1096   56.8    +5.5   +0.06   3.64 **
A11   CCI>+100                        SHT    1184   52.7    +4.5   +0.04   3.10 **
A12   CCI<-100                        LNG    1167   55.4    +4.1   +0.03   2.79 **
C11   Near 20d HIGH                   SHT    2287   51.1    +2.9   +0.04   2.75 **
B2    Close<BB lower                  LNG     502   57.2    +5.8   +0.07   2.61 **
B7    z-score<-2 → long               LNG     502   57.2    +5.8   +0.07   2.61 **
A10   Williams%R<-80                  LNG    2086   54.1    +2.7   +0.01   2.49 *
A8    Stoch K<20                      LNG    1884   54.0    +2.6   +0.02   2.28 *
C12   Near 20d LOW                    LNG    1908   53.9    +2.6   +0.02   2.25 *
A1    RSI>70                          SHT     511   52.4    +4.2   +0.07   1.92 
B10   Close>Keltner high              SHT    1372   50.6    +2.4   +0.05   1.77 
A9    Williams%R>-20                  SHT    2367   50.0    +1.8   +0.02   1.73 
A7    Stoch K>80                      SHT    2156   49.8    +1.6   +0.03   1.50 
B5    BB squeeze (bw 20-low)          LNG    1534   53.1    +1.8   +0.04   1.39 
D1    ATR<20-med (compressed)         LNG    5125   52.3    +1.0   +0.02   1.37 
A6    RSI2>90 (Connors)               SHT     351   51.9    +3.7   +0.01   1.37 
A2    RSI<30                          LNG     508   53.7    +2.4   -0.02   1.08 
A5    RSI2<10 (Connors)               LNG    2771   52.4    +1.0   +0.01   1.06 
S1    Near big-figure (x.xx00)        LNG    3024   52.2    +0.8   +0.00   0.91 
P1    Bullish engulfing               LNG     709   53.0    +1.7   +0.03   0.89 
H3    NY open 13-15                   LNG     855   52.9    +1.5   +0.02   0.88 
A3    RSI>65                          SHT    1164   49.4    +1.2   +0.04   0.82 
C29   ADX<20 & RSI>70 (range OB)      SHT      39   53.8    +5.6   +0.09   0.71 
H2    London open 07-09               LNG    1667   52.2    +0.8   +0.01   0.68 
D4    NR7                             LNG    1327   52.2    +0.9   +0.01   0.63 
C13   MACD cross up                   LNG     406   52.5    +1.1   +0.02   0.45 
D2    ATR>1.5x med (expanding)        LNG     151   53.0    +1.6   -0.04   0.40 
B11   TTM squeeze on                  LNG    1121   51.9    +0.6   +0.01   0.38 
D6    ATR pctile<0.2 (calm)           LNG    2368   51.7    +0.4   +0.03   0.37 
D5    Inside bar                      LNG    1461   51.8    +0.5   +0.01   0.35 
C26   ADX>25 & EMA20>50               LNG    1888   51.6    +0.3   -0.01   0.25 
B1r   Close>BB upper REV              LNG     539   51.6    +0.2   -0.03   0.10 
B1    Close>BB upper                  SHT     539   48.2    +0.0   +0.03   0.02 
B8    z-score>+2 → short              SHT     539   48.2    +0.0   +0.03   0.02 
C18   Aroon up>70 & down<30           LNG    2338   51.4    +0.0   -0.01   0.02 
P4    Bearish pin                     SHT    1557   48.0    -0.2   +0.00  -0.12 
C28   ADX<20 & RSI<30 (range OS)      LNG      22   50.0    -1.4   +0.00  -0.13  INSUFF
B6    BB expanding (>20-med)          LNG    4758   51.2    -0.1   -0.01  -0.18 
P3    Bullish pin (tail≥2.5body)      LNG    1597   51.1    -0.3   +0.00  -0.21 
D5s   Inside bar                      SHT    1461   47.9    -0.3   -0.01  -0.22 
D6s   ATR pctile<0.2 (calm)           SHT    2368   47.8    -0.4   -0.03  -0.39 
H4o   NY/London overlap 12-16         LNG    2483   50.9    -0.4   -0.00  -0.41 
C5    Close>EMA200                    LNG    5135   51.0    -0.3   +0.00  -0.45 
C19   Aroon down>70 & up<30           SHT    2115   47.7    -0.5   -0.01  -0.45 
C7    EMA20>EMA50                     LNG    5036   51.0    -0.3   +0.00  -0.48 
