
==============================================================================
USDCHF Signal Edge Scan — D1 fwd=5 — baseline LNG=51.5% / SHT=48.5% — bars=1157
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
C4    Close<EMA50                     SHT     663   46.2    -2.4   +0.04  -1.22 
C21   Supertrend bear                 SHT     635   46.0    -2.5   +0.02  -1.28 
C20   Supertrend bull                 LNG     517   48.4    -3.1   -0.10  -1.42 
A11   CCI>+100                        SHT     128   42.2    -6.3   -0.15  -1.43 
G7    September                       SHT      86   40.7    -7.8   -0.21  -1.45 
C3    Close>EMA50                     LNG     488   48.2    -3.3   -0.08  -1.47 
C11   Near 20d HIGH                   SHT     135   41.5    -7.0   -0.09  -1.64 
C13   MACD cross up                   LNG      46   39.1   -12.3   -0.37  -1.68 
E10   DXY 1d jump>0.5                 LNG     144   44.4    -7.0   -0.18  -1.69 
P4    Bearish pin                     SHT     176   41.5    -7.0   -0.18  -1.87 
B2r   Close<BB lower REV              SHT      58   36.2   -12.3   +0.18  -1.88 
E15   VIX<15                          SHT     277   42.6    -5.9   -0.05  -1.97 
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
USDCHF Signal Edge Scan — H4 fwd=6 — baseline LNG=52.0% / SHT=47.5% — bars=6829
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B6    BB expanding (>20-med)          LNG    3240   54.0    +2.0   +0.00   2.33 *
S1    Near big-figure (x.xx00)        LNG    1886   54.3    +2.3   +0.01   2.02 *
C10   Donchian20 breakdown            SHT     401   52.4    +4.9   +0.10   1.97 
B1    Close>BB upper                  SHT     344   52.6    +5.2   +0.05   1.92 
B8    z-score>+2 → short              SHT     344   52.6    +5.2   +0.05   1.92 
A6    RSI2>90 (Connors)               SHT     231   53.7    +6.2   +0.08   1.89 
A1    RSI>70                          SHT     385   51.4    +4.0   +0.06   1.56 
D6    ATR pctile<0.2 (calm)           LNG    1648   53.8    +1.8   +0.01   1.46 
B2r   Close<BB lower REV              SHT     383   50.9    +3.5   +0.06   1.35 
D1    ATR<20-med (compressed)         LNG    3511   52.8    +0.9   +0.00   1.02 
C26   ADX>25 & EMA20>50               LNG    1442   53.1    +1.1   +0.00   0.87 
C11   Near 20d HIGH                   SHT    2106   48.4    +0.9   +0.02   0.85 
C23   PSAR bear                       SHT    3203   48.2    +0.7   +0.01   0.85 
A11   CCI>+100                        SHT     767   48.9    +1.4   +0.04   0.80 
D2    ATR>1.5x med (expanding)        LNG      78   56.4    +4.4   +0.14   0.78 
C14   MACD cross down                 SHT     275   49.8    +2.4   +0.04   0.78 
C22   PSAR bull                       LNG    3619   52.5    +0.5   -0.01   0.64 
H2    London open 07-09               LNG    1157   52.9    +0.9   -0.01   0.63 
A8    Stoch K<20                      LNG    1293   52.8    +0.9   -0.02   0.61 
A12   CCI<-100                        LNG     859   53.0    +1.0   -0.05   0.59 
D4    NR7                             LNG     907   52.8    +0.8   -0.02   0.51 
D5s   Inside bar                      SHT    1044   48.2    +0.7   +0.02   0.47 
C29   ADX<20 & RSI>70 (range OB)      SHT      23   52.2    +4.7   +0.11   0.45  INSUFF
A2    RSI<30                          LNG     449   53.0    +1.0   -0.03   0.44 
A9    Williams%R>-20                  SHT    1695   48.0    +0.5   +0.02   0.42 
A4    RSI<35                          LNG     903   52.5    +0.5   -0.02   0.31 
A5    RSI2<10 (Connors)               LNG    1925   52.3    +0.3   -0.01   0.30 
H4o   NY/London overlap 12-16         LNG    1787   52.3    +0.4   -0.01   0.30 
A3    RSI>65                          SHT     871   47.9    +0.4   +0.04   0.25 
H3s   NY open 13-15                   SHT     530   47.9    +0.5   +0.02   0.22 
B11   TTM squeeze on                  LNG     919   52.2    +0.3   +0.02   0.16 
B10   Close>Keltner high              SHT     953   47.6    +0.2   +0.04   0.11 
C12r  Near 20d LOW REV                SHT    1635   47.6    +0.1   +0.02   0.10 
B9    Close<Keltner low               LNG     920   52.1    +0.1   -0.04   0.06 
C12   Near 20d LOW                    LNG    1635   52.0    +0.0   -0.02   0.01 
A10   Williams%R<-80                  LNG    1422   51.9    -0.1   -0.02  -0.05 
C6    Close<EMA200                    SHT    3720   47.4    -0.1   +0.02  -0.08 
C21   Supertrend bear                 SHT    3248   47.4    -0.1   +0.02  -0.08 
C25   ROC10<0                         SHT    3234   47.4    -0.1   +0.02  -0.10 
P2    Bearish engulfing               SHT     521   47.2    -0.2   +0.02  -0.11 
H3    NY open 13-15                   LNG     530   51.7    -0.3   -0.02  -0.13 
C8    EMA20<EMA50                     SHT    3511   47.3    -0.1   +0.01  -0.14 
C20   Supertrend bull                 LNG    3575   51.8    -0.1   -0.00  -0.17 
C18   Aroon up>70 & down<30           LNG    1703   51.7    -0.2   -0.01  -0.20 
C24   ROC10>0                         LNG    3551   51.8    -0.2   -0.01  -0.25 
C5    Close>EMA200                    LNG    3102   51.7    -0.3   -0.01  -0.29 
D5    Inside bar                      LNG    1044   51.3    -0.6   -0.02  -0.41 
C7    EMA20>EMA50                     LNG    3311   51.6    -0.4   -0.01  -0.41 
P3    Bullish pin (tail≥2.5body)      LNG    1176   51.2    -0.8   -0.02  -0.54 
H2s   London open 07-09               SHT    1157   46.6    -0.9   +0.01  -0.59 
P1    Bullish engulfing               LNG     525   50.7    -1.3   -0.01  -0.60 
D4s   NR7                             SHT     907   46.4    -1.0   +0.02  -0.63 
C4    Close<EMA50                     SHT    3405   46.9    -0.6   +0.01  -0.65 
A7    Stoch K>80                      SHT    1554   46.6    -0.9   +0.01  -0.68 
C3    Close>EMA50                     LNG    3417   51.3    -0.6   -0.01  -0.75 
C19   Aroon down>70 & up<30           SHT    1395   46.3    -1.1   -0.01  -0.86 
D1s   ATR<20-med (compressed)         SHT    3511   46.7    -0.8   -0.00  -0.92 
C11r  Near 20d HIGH REV               LNG    2106   50.9    -1.1   -0.02  -0.98 
C28   ADX<20 & RSI<30 (range OS)      LNG      24   41.7   -10.3   +0.03  -1.01  INSUFF
