
==============================================================================
GBPJPY Signal Edge Scan — D1 fwd=5 — baseline LNG=56.7% / SHT=43.3% — bars=1159
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
G9    Turn of month (day>=26)         LNG     205   46.3   -10.3   -0.15  -2.99 **
B1r   Close>BB upper REV              LNG      57   36.8   -19.8   -0.42  -3.02 **
C8    EMA20<EMA50                     SHT     298   32.6   -10.8   -0.62  -3.75 **
------------------------------------------------------------------------------
* |t|>2.0 (p<.05)   ** |t|>2.6 (p<.01)   N<30 INSUFF

==============================================================================
GBPJPY Signal Edge Scan — H4 fwd=6 — baseline LNG=54.8% / SHT=45.1% — bars=6845
==============================================================================
Code  Signal                          Dir       N   win%    edge    avg%      t  
------------------------------------------------------------------------------
B10   Close>Keltner high              SHT    1071   52.1    +7.1   +0.02   4.64 **
A11   CCI>+100                        SHT     962   51.7    +6.6   +0.03   4.12 **
A7    Stoch K>80                      SHT    1808   49.5    +4.5   -0.02   3.80 **
A3    RSI>65                          SHT    1015   50.6    +5.6   +0.02   3.58 **
B1    Close>BB upper                  SHT     391   53.7    +8.7   +0.07   3.44 **
B8    z-score>+2 → short              SHT     391   53.7    +8.7   +0.07   3.44 **
A1    RSI>70                          SHT     472   52.3    +7.3   +0.00   3.18 **
A9    Williams%R>-20                  SHT    1945   48.5    +3.5   -0.02   3.09 **
A4    RSI<35                          LNG     542   60.0    +5.2   +0.07   2.43 *
B9    Close<Keltner low               LNG     679   59.2    +4.4   +0.07   2.33 *
C14   MACD cross down                 SHT     266   51.9    +6.8   +0.04   2.24 *
C11   Near 20d HIGH                   SHT    2175   47.3    +2.3   -0.02   2.12 *
C12   Near 20d LOW                    LNG    1053   57.8    +3.1   +0.02   2.00 *
P4    Bearish pin                     SHT    1108   47.7    +2.7   +0.01   1.80 
A6    RSI2>90 (Connors)               SHT     251   49.8    +4.8   -0.04   1.51 
D6    ATR pctile<0.2 (calm)           LNG    1743   56.5    +1.7   +0.04   1.42 
D5    Inside bar                      LNG    1105   56.7    +1.9   +0.05   1.26 
H3    NY open 13-15                   LNG     530   56.8    +2.0   +0.05   0.94 
H2    London open 07-09               LNG    1157   55.8    +1.1   +0.03   0.73 
A2    RSI<30                          LNG     240   57.1    +2.3   +0.07   0.72 
B2    Close<BB lower                  LNG     346   56.4    +1.6   +0.02   0.60 
B7    z-score<-2 → long               LNG     346   56.4    +1.6   +0.02   0.60 
C28   ADX<20 & RSI<30 (range OS)      LNG      11   63.6    +8.9   +0.75   0.59  INSUFF
D4    NR7                             LNG     903   55.6    +0.8   +0.04   0.50 
D1    ATR<20-med (compressed)         LNG    3486   55.2    +0.4   +0.04   0.48 
P3    Bullish pin (tail≥2.5body)      LNG    1231   55.4    +0.6   +0.02   0.45 
P1    Bullish engulfing               LNG     534   55.4    +0.7   +0.04   0.31 
A12   CCI<-100                        LNG     754   54.8    +0.0   +0.02   0.01 
B5    BB squeeze (bw 20-low)          LNG    1138   54.7    -0.0   +0.02  -0.01 
A8    Stoch K<20                      LNG     907   54.5    -0.3   -0.04  -0.18 
C29   ADX<20 & RSI>70 (range OB)      SHT      49   42.9    -2.2   -0.08  -0.31 
B11   TTM squeeze on                  LNG     854   54.2    -0.5   -0.00  -0.32 
D1s   ATR<20-med (compressed)         SHT    3486   44.7    -0.4   -0.04  -0.46 
C18   Aroon up>70 & down<30           LNG    1958   54.2    -0.5   +0.01  -0.46 
C24   ROC10>0                         LNG    3823   54.4    -0.4   +0.03  -0.47 
C25   ROC10<0                         SHT    2996   44.6    -0.5   -0.03  -0.50 
D4s   NR7                             SHT     903   44.2    -0.9   -0.04  -0.52 
